N_bits,trial_idx,small_exponents,success,p_bits,q_bits,t_keygen_s,t_encrypt_s,t_recover_a_s,t_cma_s,t_total_s,peak_mem_kb,e1_bits,e2_bits,u_bits,v_bits,p,q,N,a_true,e1,e2,u,v,C1x,C1y,C1z,C2x,C2y,C2z,a_found
256,0,False,True,128,128,0.024729237999963516,0.007854665000195382,0.0006516570001622313,0.008825847000025533,0.042068246999861,142,255,254,251,251,334227123342672217388070688963300022641,242287846236598627631612704481858923579,80979169868550050135137387755374026420060804259227227069959895609418588752139,45847850945022932397498541169349317401880935512184895173729882395061073714864,31912827726456558630336942686093285231266968926027785442916769941206755363746,27361619213296778175229780854511169427059167711678683969554018881289589397211,-2271314868763518885272959767315874102147112267608192130660553025393469316731,2649115154857676282916331109369653108554281880220398467275989745270332530357,51145321396782272305217962114711306162053760818765578779021290476910193647602,68020240951796877962557141186754590140755521701158608085629948625245669041345,62823316837653876163857438345183569768668310972175594053198709802031950573939,5068874618933654391947418413276974901896034235393346539167657721999128899162,7986381824955030775224278512578000194008946378377099281635366209189672859970,54792553963174900615446244952720217825097353570079250901217555754845332555251,45847850945022932397498541169349317401880935512184895173729882395061073714864
256,1,False,True,128,128,0.022505749000174546,0.01111822500024573,0.0003903679998984444,0.008075987999745848,0.042096388999652845,18,254,255,253,252,331307713914007592198119576136778100673,218301808762701410006805093366400048871,72325073204463474450920986917256492976890873638006455636260429056069757990183,54414036023946593205119783904998082823600017964744629285103322389237990017053,16124436840176046877409662342664431258442310537247681019844782346506681551807,41191300470466364351107313322870868381588002839300133254985463917401434346855,13417826727573118752098612102475756674446743113900091105462411285252957994353,-5252441586696261323082674084561397256536982475127892592975173708313568267394,33978697815139960086809630420669875676413196621586962055715702960011875608507,13171164206323000454018377944447825084119443610493654931685602367539634868667,34611053752828685134381349427047981796298399122907711845303328792248553522504,24165028474324512766293528458807404338534767246109269108602903377725015012102,70263497820306591983905129450273437082309708330328213531478860685445792729437,25028287123234757566230154293409887584692991757046644697650857891435114244510,54414036023946593205119783904998082823600017964744629285103322389237990017053
256,2,False,True,128,128,0.010700201999952696,0.01277751099996749,0.0007775120002406766,0.012947631000315596,0.037209307000011904,19,255,255,253,253,175123771816852305745824631193361875603,287015239409897165355208998426711993919,50263191294378066415379128710748501745561948346799430364764526169473770458157,30774601305544105715088840963940904467337695959693042895083916944278618001059,36405404047603458952308384640764069493336570204614071565100370060933925334906,31461245832353222337497333605173622320088871092388539563252507592546025025631,-10229180028409156620641364775776319304955435036760693958827074922585133628808,11836703288683999996913418110065422098462642600940421485013089684773425091279,36090589230136681217220375325551801198391980284326169333584803887759266097518,28878826115933414552351102010130529883028345384289038094542436962076792672129,37696354712258858221891944959161393408673412816888828822230514039881116228428,20263700462035245005775181783130322756703426640376026933337004001856499061312,23090141734834125870070200197463097391521897575751585442941271020623800738037,23158556410170613141279334912868081155793840116003879301710143583274409775120,30774601305544105715088840963940904467337695959693042895083916944278618001059
256,3,False,True,128,128,0.0208805659999598,0.010924946000159252,0.0005215989999669546,0.007966939000198181,0.04030235500022172,18,254,256,254,253,334440119699918559693249456976165939031,318697469983760779687878484772115091747,106585220009430157395263309630502342400624223477972716071791002211216973277157,33404000005811304799176649506545122485650536185460375441192224342824152551033,26760408996732989746875831583549092799984124854517352962879452602353616893419,64463203846931536644643617062773796458576892533631604446720422806736647364881,-26389756776382048608415114097994992909335675334760910092490253830805579973827,10955097521016322714943220714983502261709448813979456648423490632718064909794,1739236016787043436912897216862116275758822032149905517647429030578597923093,99861305000636400890320831252466654823905303498207215503647922847144455925519,102101892775698755904574075152307587231074372967217918460432512749406689390422,54039241318708443715257985761650206172259527355878891442507768811522790742228,68716434975789466197742150062712763418426054861139294279834282667253093836574,45897743535242556486159591585175620311360322705415932365408670228683084905914,33404000005811304799176649506545122485650536185460375441192224342824152551033
256,4,False,True,128,128,0.018199872999957734,0.01237326699992991,0.00045222200014904956,0.010035257000254205,0.04106716500018592,20,254,256,252,250,272085658816182087816588931603838775541,283629712882741397276526297877019110979,77171577289545261149278609836645442286590246139316510365857021225615749764639,27257031783075866427169343748426921963384681134339639595152528325874664086543,27110040762719635551480055411735354749382010788867242364647093886019965130185,62632407626874443981495244980965542433435625290767605292948859222148652399224,4117177390140465768810654627691114280465449692609966363521860606162963744849,-1782094144280713901050719214276499781013173068459005583774195896023185345661,49486048039258965129329791323797242279008129543645418330463703191871015548350,47908852224287674329502217065215219073797239787283681461447881763533024407358,3668548350792950383046571916296287004387210193686237898486701578699798044244,14663487814472299877462636274459785857373302914091021682737728881529135998907,48161079428009584205479423458080004573337634034237140553286012746964131577841,29788333019184165479303981101383426062217373007828550132649358479883337938797,27257031783075866427169343748426921963384681134339639595152528325874664086543
256,5,False,True,128,128,0.03411752900001375,0.00879438400033905,0.00042730399991341983,0.009869240000170976,0.053213831999983086,19,255,255,253,253,238295999353403719048541641403269256407,304010095386457461133183295741747303083,72444389493639470109611543541880150064345903762961023242581183624179068602781,66284914783494614670237850819953007227383440574845038263618082673070763987337,38122358793973094260666651852011165521742893930998035188675755238544041249084,50812296048528051547873497541990923980192623886166761098018378305356089501587,11340702427410799883188235210201117609478790192053272879990699957397900010691,-8508458789198134185451919499132918559351955922446241399050804060822087163489,40377691650049967795601776887511229925438981145123421412982576421010206815938,29825683939715024864773335455193994847199127339010239441824609836221215745718,68737019647186228344648553057243964265292630510500496694975140864117659318688,62507286842131132345704810720988215584308418681311593224158199555964190828017,50109953637891289604824550830326082696360855862913186163329913124437580914237,8125099723063746934986181748157671880835551829080470421055723418605793667895,66284914783494614670237850819953007227383440574845038263618082673070763987337
256,6,False,True,128,128,0.021715746000154468,0.010793879000175366,0.0004458129997146898,0.00900317300011011,0.041975286999786476,15,254,255,254,253,309610999576107679605382384427133026357,327463083858571148222109649625187990449,101386172717726985311808613484763014587813294380662684640684307511532581264293,75222838766700604361888307553964250891455244363734652159572738280415626237463,19165029314278331883740035011622111382490763886118829820067248237975096281287,49808570616395323022404457891506004051501204765477056844271272073867545389919,24901306923766378102244064782881694432435249899218455801981358405314868659549,-9581368653063394539916413495422514208533352636029082892633083181526124452598,7218701594000909138303466451914284107781535918224028611215222653170530315281,98157839837304882102849727648064892772356547853459993866690212716289603187881,54454844344322096344148641159585258877600345847088241872231151243665139916912,20357302733007729532332688352113236784350873107563774370025070841088435555956,76007449153929923614242417413114526480014405939037405773317980823413641155888,83239359667297707367354374179885017792056261196708350029573402548070886539100,75222838766700604361888307553964250891455244363734652159572738280415626237463
256,7,False,True,128,128,0.019681675000356336,0.007760805000089022,0.000358691000201361,0.009791194000172254,0.037598250999963057,17,255,255,253,254,269701278765938255538023954350771257377,230359373114964720244373276602943106943,62128217504825882365328798064477757866203564975164803842869481423191088668511,12586922467555570382267511403549687995505101681677016774711497469028911114674,55602402412410486940469851004654360422239617698575330148578566369390638188323,48979801777011728438727333068254957389830656242398330871271560297183778144706,12807583402121877681785381861832406605607156913015654855892079151546039564817,-14539307641492407093258924005889400939099890131474161167283886154173538821065,33963695119567086847809601997509618298789884116485655723537265452667981124268,34533749533587066861067457333841126290205088880258426476920392285242964202661,6953136562949634773272420538093504987664611004568334069183184428207580576793,965343345115000482153452559155417114133439142633893476236762624079109593750,1868534513107343162990324273877720039755135559837380897052972905238167431654,29993190625632287722780031902569149891813039030315343601994453056316457343644,12586922467555570382267511403549687995505101681677016774711497469028911114674
256,8,False,True,128,128,0.020427703999757796,0.009708585000225867,0.00043933699998888187,0.009020538999720884,0.03960411200023373,17,255,255,254,254,270498186557240304912285106901766283343,284992821978158600750067198968023317487,77090041526922320140113103805713919984069438936588148922988320735612888719041,46868381127766872578669749045447570925474442152566735084801742335330497593181,30850207428184696877551028280342951006347999579671124323863071512442126584627,57467222429885207308783648421343347067539344657669395933135970539333906510049,-28408331416709223426206222586277632012538595256314662699214660722549594152438,15250483316178714816486633800483113066943577957679476853152444631739016135523,43739449660087415732584243440156508027940451997418697572996031372577946010162,66944146655656101931772638692243507001880456845056873054902238021014561869305,22423023956132261069772283819912981225969659550009081450146783590840432883630,28230603674037645865256986089860234487624994612788559573973122253752215604911,70620695571532439919254940229726633567348776905345106016296913030795755090841,4189099198477885759954602490549178247146879362109547775237194265318536392642,46868381127766872578669749045447570925474442152566735084801742335330497593181
256,9,False,True,128,128,0.029139097999632213,0.014435334999689076,0.0008103899999696296,0.014915779000148177,0.05931571100018118,18,253,254,253,251,286094511776290941598090617051575985479,333504227170035370373740830167092527349,95413729047540493676549543735538603400560761867864472046860153667201434365171,23435916735054684597080880960290387541222554913968217074884565555305499748654,8548401173294693229848124925844879592246389334359760358096414984578217327520,22699995815849085018634169918604143113609922732719662506702023514527060396849,-9239862251756478879560612003944758052242413707323247169622837965651450097916,3479562285154632131238490753078782604216341128861534131478405600899529365329,47539893525356541575863763988034007358966104966701197482630592076198152731721,13980615356289854182901651192002549796973232889932333416164394066648267177905,45625110072156837486568388676314448091232849131169220932331511264441663797202,86591444059756653520790339911601431794798665819147726926205729149161183635771,21657786431737470839980984075127901871883062881289984792537015604264111811014,2759920982105215784382401798324097523979460475621487165583805557631000890690,23435916735054684597080880960290387541222554913968217074884565555305499748654
